城 市,年份,index,Innt,Innp,Inns,open,pgdp,une,gov,hc,consum,infra,str
  汉中市,2021.0,287.08,0.38567,0.25684999999999997,0.18089,0.008882611424984307,7.373374309910049,12.532155383449563,0.030872567482736975,1.3937663759585917,0.32632661644695543,2.4458192610799534,2.2700000000000005
  榆林市,2021.0,273.31,0.44369,0.36301,0.16724,0.002078239608801956,8.316300249036848,13.073981629821487,0.09932518337408314,0.9968010225214249,0.15997616136919315,2.511223958105374,2.2420999999999998
  安康市,2021.0,276.28,0.33787999999999996,0.34589,0.19454000000000002,0.008879706152433425,6.9930151229329605,12.239396196862502,0.0260514233241506,0.8579410204856833,0.40136391184573,2.9512577834521614,2.3085
  商洛市,2021.0,274.12,0.2116,0.23973,0.17406,0.020094722598105547,6.6052979209482015,12.088611433083146,0.028213802435723953,0.8193832771050871,0.23383477672530448,2.9481164196123277,2.3315
  兰州市,2021.0,278.06,0.79863,0.83562,0.7099,0.011302390024246625,7.967973179662935,13.573489950880376,0.08560096986491167,3.6658820288812333,0.5684931416695531,3.3628029936748436,2.6369000000000002
  嘉峪关市,2021.0,303.43,0.023889999999999998,0.68151,0.31740999999999997,0.0017730496453900709,5.641907070938114,10.949068194652432,0.06446808510638298,-0.9248270628964415,0.256904609929078,3.6615082573178044,2.3254
  金昌市,2021.0,285.37,0.0273,0.5,0.14676,0.35670391061452517,5.8805329864007,11.422322190287309,0.06276536312849161,-0.6518133170669681,0.28107206703910614,0.412109650826833,2.2036
  白银市,2021.0,274.33,0.29352,0.5274,0.16041,0.01187122736418511,6.208590026096629,11.998002418713442,0.06716297786720322,-0.4703236804566608,0.33255211267605633,2.428336298299606,2.2533
  天水市,2021.0,255.17,0.25939,0.17808,0.23207999999999998,0.03605697151424288,6.502790045915623,12.373327094734409,0.08082458770614692,1.576480742275992,0.4061839580209895,3.4226326623822203,2.3795
  武威市,2021.0,266.02,0.0785,0.23629999999999998,0.06143,0.004942965779467681,6.26530121273771,11.76204081037319,0.060836501901140684,0.7750036270297774,0.27346558935361215,3.246880021277798,2.2239000000000004
  张掖市,2021.0,280.91,0.27645,0.65753,0.0785,0.0052462526766595295,6.1463292576688975,11.652635232071237,0.057708779443254817,0.6731995427502492,0.43052655246252675,2.4907230351094403,2.2629
  平凉市,2021.0,262.42,0.04096,0.034249999999999996,0.17747,0.004516806722689075,6.16541785423142,12.073072540318924,0.06897058823529412,0.5388881615308743,0.3480716386554622,3.0145540277945786,2.2935
  酒泉市,2021.0,297.91,0.30375,0.75685,0.03072,0.008829787234042553,6.489204931325317,11.803106911383074,0.05496960486322189,0.26167171701955005,0.3707241641337386,3.318902138935325,2.2432
  庆阳市,2021.0,263.78,0.20819,0.22945000000000002,0.10922000000000001,0.0020927152317880794,6.626717749249025,12.086585032907587,0.0722251655629139,0.8295120550804617,0.2344866225165563,3.005187432324746,2.2692
  陇南市,2021.0,251.76,0.11263,0.06849,0.07509,0.004402654867256637,6.113682179832232,11.867854886370498,0.05132743362831858,-0.011364330079049759,0.3085716814159292,3.4716558453107167,2.33
  西宁市,2021.0,243.18,0.6314,0.78082,0.6689400000000001,0.005134741442097596,7.224753405767971,12.786747973597015,0.09723962126729788,2.121530732967019,0.4177517115804807,2.745345985845907,2.5376
  海东市,2021.0,247.63,0.10239000000000001,0.19178,0.20478000000000002,0.005155642023346303,6.2422232654551655,11.782685390913018,0.05237354085603113,-1.2704687956143002,0.23592996108949416,2.388762789235098,2.3209999999999997
  银川市,2021.0,283.36,0.7542700000000001,0.8835599999999999,0.75768,0.023049898167006113,7.582738488914411,12.765082535660873,0.080071283095723,2.48378101650049,0.39249994908350305,1.1378330018213911,2.4995000000000003
乌鲁木齐市,2021.0,301.44,0.8020499999999999,0.8801399999999999,0.70307,0.08645789631405454,8.112827478751374,13.61705352166087,0.11766257117171111,3.1678182921603653,0.31270908001198683,1.1249295969854831,2.7116999999999996
克拉玛依市,2021.0,294.91,0.13993,0.8767100000000001,0.25597000000000003,0.012841037204058625,6.787844982309579,11.917203201765329,0.08939120631341602,0.500472211686499,0.10775343855693348,-2.120263536200091,2.2874
  哈密市,2021.0,284.6,0.08874,0.6404099999999999,0.02048,0.0043421052631578945,6.410174881966167,11.494822592272374,0.08116776315789474,-0.9439188989916292,0.16082763157894736,0.20701416938432612,2.2714
  石家庄市,2020.0,270.53,0.90102,0.80137,0.843,0.11275903614457831,8.667335849845957,13.8825905343668,0.1809621342512909,3.9760676546310476,0.4243011703958692,6.236467432775085,2.5299
  唐山市,2020.0,251.42,0.79522,0.62671,0.68259,0.04266618287373005,8.837826364007704,13.566034581551767,0.1157489114658926,2.6828144410339494,0.30401493468795354,6.0454791354142206,2.3213999999999997
  秦皇岛市,2020.0,252.83,0.61775,0.70205,0.67235,0.1412468982630273,7.385230923066573,12.526578814411147,0.19723325062034738,2.247843755669702,0.36306197270471463,4.204244757921959,2.4151000000000002
  邯郸市,2020.0,244.12,0.7406100000000001,0.29452,0.6552899999999999,0.01898450946643718,8.156510226079966,13.339633715115736,0.20000286861732647,1.9768549529047348,0.35212008032128517,5.432148714181557,2.3577000000000004
  邢台市,2020.0,243.59,0.72355,0.41096,0.63481,0.06036320754716981,7.659171367666058,12.896328149219581,0.2596556603773585,1.725548439115659,0.4651014150943396,5.428028973069694,2.3396
  保定市,2020.0,248.54,0.843,0.58219,0.6791800000000001,0.0871951219512195,8.235360643753348,13.614093028135194,0.2327014846235419,2.942320948248033,0.418126723223754,4.832544773830117,2.4154999999999998
  张家口市,2020.0,244.97,0.6791800000000001,0.5993200000000001,0.25939,0.01344294003868472,7.346655163176539,12.776913764456149,0.3939651837524178,1.883487483154585,0.3607141199226306,4.925077405734609,2.3983999999999996
  承德市,2020.0,239.72,0.4744,0.43493000000000004,0.15358,0.012719238613188308,7.293697720601438,12.509589926647125,0.28675730795377297,1.685305763663229,0.3306122365737593,3.833628938000134,2.2626999999999997
  沧州市,2020.0,240.45,0.74744,0.47259999999999996,0.62116,0.051159420289855075,8.185350223178686,13.072357674767256,0.19127647714604235,2.091641814761154,0.3022846432552954,5.519539072299548,2.4381999999999997
  廊坊市,2020.0,273.63,0.8054600000000001,0.77397,0.8395900000000001,0.05739987484355444,8.069655306886165,12.875876989641935,0.20017834793491865,2.613211909940924,0.41550428660826033,3.655839600035736,2.5378
  衡水市,2020.0,245.27,0.59386,0.48973,0.6314,0.13864451827242524,7.316548177182976,12.344816678707154,0.2619800664451827,0.7786824686662079,0.3929551495016611,4.138999202762532,2.3850000000000002
  运城市,2020.0,251.46,0.47781999999999997,0.25342,0.43686,0.017875879718490084,7.354362330421477,12.802907143948204,0.239404990403071,1.7336888747719572,0.5482860524632118,5.37207885011009,2.3366
呼和浩特市,2020.0,269.72,0.79181,0.8698600000000001,0.61092,0.022751701898960947,7.934155233536322,13.01396046055617,0.14973844500179148,3.1911962557614584,0.38570204227875315,4.728537599938376,2.623
  包头市,2020.0,257.84,0.64164,0.79452,0.33787999999999996,0.036072218128224025,7.906178840394815,12.73933859128567,0.13431466470154751,2.033620091515069,0.5807542372881356,5.945708525269778,2.536
  乌海市,2020.0,259.25,0.11263,0.7363,0.6450499999999999,0.009437386569872959,6.311734809152915,11.342042240317104,0.18687840290381125,-0.5250935955636955,0.29347078039927404,4.327174383125731,2.3595
  赤峰市,2020.0,229.41,0.5187700000000001,0.35959,0.06143,0.01727166276346604,7.443078374348516,12.654463134489768,0.3192154566744731,0.8608625849645378,0.36260843091334893,5.15652336093015,2.3234
  通辽市,2020.0,224.56,0.6928300000000001,0.76027,0.20137,0.017363851617995266,7.144407180321139,12.330473733488132,0.29937647987371746,1.1689154125105334,0.2572466456195738,4.7777780505944065,2.2462
鄂尔多斯市,2020.0,254.57,0.70307,0.85616,0.08874,0.008654646324549237,8.190077049719049,12.736315528229847,0.17383633841886267,0.2642087162661388,0.16635450762829404,5.405241658869544,2.351
呼伦贝尔市,2020.0,235.33,0.33787999999999996,0.39041,0.0273,0.029505448449287514,7.084226422097916,12.682468302171559,0.38541492036881814,-0.3053030812091834,0.27625658005029335,4.8543712716215905,2.2534
巴彦淖尔市,2020.0,242.14,0.28669,0.5411,0.04096,0.04511999999999999,6.774223886357614,12.019074168977248,0.34901714285714286,0.12124370728536422,0.27334994285714287,4.731979032851787,2.2155
乌兰察布市,2020.0,231.01,0.27645,0.29109999999999997,0.04437,0.03415841584158416,6.694562058521095,11.970438915678619,0.45941831683168316,0.9282193027394288,0.3018144801980198,4.404521712501253,2.2903
  沈阳市,2020.0,224.53,0.92833,0.8732899999999999,0.88055,0.048825347758887166,8.774931387494947,13.99429085188186,0.1619242658423493,3.7475987325041102,0.692363400309119,5.244811099024895,2.5755
  鞍山市,2020.0,265.37,0.54266,0.57534,0.58362,0.08718051575931232,7.4645098346365275,12.834118479929588,0.1873810888252149,1.1392422647540053,0.5751532378223496,5.356491930599109,2.4524
  抚顺市,2020.0,275.99,0.36518999999999996,0.56164,0.40273000000000003,0.03955135773317592,6.741700694652055,12.25859867978162,0.2457378984651712,1.4455533449948124,0.7411144037780402,4.053696163744291,2.3733
  本溪市,2020.0,277.15,0.13652,0.38356,0.27304,0.10385403329065301,6.660575149839686,12.256894078608685,0.2110371318822023,1.3622321747691315,0.48086274007682456,4.447697327163527,2.3893
  丹东市,2020.0,244.68,0.28328,0.39726,0.24914999999999998,0.17230468750000003,6.643789733147672,12.11032136845675,0.2908203125,1.0701442246885844,0.4079526041666667,3.9128226855987105,2.3718000000000004
  锦州市,2020.0,245.23,0.33447000000000005,0.33562,0.38225000000000003,0.006234855545200373,6.9782137426306985,12.314774572450364,0.336430568499534,2.0494332634390875,0.6359808014911463,5.13208567090303,2.3702
  营口市,2020.0,238.51,0.43686,0.61986,0.61433,0.1669277108433735,7.191429330036379,12.278797876423388,0.19163403614457833,0.8663018495290827,0.47240783132530123,5.075486266415872,2.3843
  阜新市,2020.0,241.89,0.12287000000000001,0.26027,0.21843,0.03997950819672132,6.1903154058531475,11.882438644954762,0.36510245901639343,1.416750818600818,0.6807327868852459,3.9351534228170006,2.2993
  辽阳市,2020.0,235.06,0.13993,0.33219,0.47098999999999996,0.035764139590854394,6.7226297948554485,11.993071238354956,0.22318892900120338,0.7186199765329764,0.3791141997593261,4.039360253889341,2.3323
  盘锦市,2020.0,243.4,0.34470999999999996,0.72603,0.61775,0.016549570647931302,7.155396301896734,12.894729760817254,0.18182669789227165,-0.21035072951545744,0.3504832162373146,4.92870191133357,2.306
  铁岭市,2020.0,227.78,0.15358,0.14041,0.22867,0.0285625,6.461468176353717,12.175438164954075,0.35509375,0.9631361491056598,0.68751625,4.343935283551159,2.237
  朝阳市,2020.0,236.37,0.21502,0.14726,0.17406,0.03291814946619217,6.736966958001855,12.316374432971894,0.3565361803084223,-0.09651090038084373,0.6198946619217082,4.0024120051558265,2.244
  葫芦岛市,2020.0,254.43,0.17065000000000002,0.18492999999999998,0.29693,0.08294919454770755,6.693323668269949,12.064434193611755,0.3077819083023544,-0.055935632330303305,0.6933848822800496,4.841427376447684,2.2957
  长春市,2020.0,224.38,0.8498300000000001,0.74658,0.6928300000000001,0.025172764227642277,8.683385366280309,13.983318973433022,0.1517649051490515,3.8477041934860754,0.5283894647696477,4.757805432411685,2.4593
  吉林市,2020.0,216.05,0.53242,0.46575000000000005,0.26961999999999997,0.029590684544812985,7.256297239690681,12.79136453439816,0.2968242766407904,2.4228450585253216,0.9958350741002118,3.7130841428107537,2.4101
  四平市,2020.0,231.93,0.24231999999999998,0.19178,0.23549,0.003391959798994975,6.679599185844383,12.08491579997222,0.40831658291457285,1.3914808878071907,0.7585464824120604,4.371218435957278,2.2051
  辽源市,2020.0,262.72,0.0785,0.28082,0.28669,0.037,6.016157159698354,11.377941589431503,0.3246341463414634,-0.3385544028255375,0.5985673170731707,2.5494451709255714,2.5099
  通化市,2020.0,242.08,0.18089,0.30822,0.2116,0.011969696969696969,6.587550014824796,12.131510724203268,0.3681818181818182,0.25106995395504883,0.6135279614325069,2.7186603802142257,2.4782
  白山市,2020.0,222.79,0.11603999999999999,0.45205,0.13652,0.026974459724950883,6.2324480165505225,11.839635924389487,0.3941650294695481,-1.415517219796794,0.5936385068762279,2.259677591982769,2.5054
  白城市,2020.0,228.17,0.08191000000000001,0.13014,0.06485,0.02556910569105691,6.198478716492308,11.950547937877449,0.508109756097561,0.8692829782668139,0.6898552845528455,1.7783364488959144,2.3318000000000003
齐齐哈尔市,2020.0,236.04,0.35154,0.10615999999999999,0.08532000000000001,0.10608503100088573,7.029087564149662,12.538235610563289,0.4274402125775022,1.7371272735749899,0.31396306465899027,4.95244104985153,2.1841
  鸡西市,2020.0,218.48,0.08874,0.15753,0.05119,0.05429347826086956,6.313548046277095,11.923470979265765,0.31427536231884057,-0.09112893341110193,0.36221684782608693,2.776954179749421,2.0347
  鹤岗市,2020.0,220.79,0.058019999999999995,0.22945000000000002,0.054610000000000006,0.056220238095238094,5.817111159963204,12.038144997603519,0.42544642857142856,-1.228948790396113,0.4772014880952381,1.965712776351493,2.1281
